RepoId,LangNum,AuthorNum,Age,CmmtNum,Vulb1Num,Vulb2Num,Vulb3Num,Vulb4Num,C,CPP,RUBY,JAVA,SHELL,PHP,CSHP,PYTHON,JAVASCRIPT,TYPESCRIPT
1614410,14,1873,238,414,21,0,17,7,1,1,1,0,1,0,0,1,0,0
10851820,3,314,86,33,1,0,3,8,0,0,0,0,1,0,0,0,1,0
18477927,4,132,61,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0
8768406,2,187,198,12,0,0,0,2,0,0,0,0,0,0,0,0,1,0
5625464,5,283,109,21,0,0,1,8,1,0,0,0,1,0,0,0,0,0
8900723,4,28,38,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0
571770,14,383,168,80,0,0,1,2,0,0,0,0,1,0,0,0,0,0
29749635,4,13,49,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2234102,7,615,168,60,1,1,0,116,0,0,0,0,1,1,0,1,1,0
6731432,3,112,94,17,0,1,0,3,0,0,0,0,1,0,0,0,0,0
24976755,1,43,69,19,2,0,0,7,0,0,0,0,0,0,0,1,0,0
16563587,18,386,78,634,4,0,1,16,1,1,0,0,1,0,0,1,1,1
519832,7,375,127,67,1,2,4,19,0,0,0,0,1,0,0,1,1,0
11570469,3,62,50,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18964487,3,210,75,25,31,0,0,0,0,0,0,0,0,0,0,0,1,0
23044617,4,65,69,41,0,0,0,1,0,0,0,0,0,0,0,0,1,1
26820798,2,268,69,24,0,0,0,6,0,0,0,0,0,0,0,0,1,1
12732573,2,49,83,7,0,0,0,2,0,0,0,0,1,0,0,0,0,0
21125024,2,65,72,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10057936,5,121,88,15,1,0,0,2,0,0,0,1,1,0,0,0,0,0
1685764,1,27,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11171548,5,203,86,44,0,0,0,11,0,1,0,0,0,0,0,0,0,0
20270252,2,30,73,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0
26102180,1,110,66,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4307108,8,116,98,21,3,0,1,1,0,0,0,0,1,0,0,1,1,0
