,average,standard deviation,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
nsis,2%,9%,0.0001885016849,1.317355811,0.0167,0.0893,0.0016,0.7416609544,4.10E-05
batchfile,1%,5%,0.0001818767729,5.153500715,0.0064,0.046,0.0004,0.9589317774,4.19E-08
red,33%,44%,0.0001735592169,1.002671566,0.3342,0.4396,0.1705,0.8321976209,8.71E-07
freemarker,1%,2%,0.0001723930591,0.416996441,0.0102,0.0245,0.0014,0.1307537876,4.70E-07
mako,1%,4%,0.0001609779581,0.3416787943,0.01,0.0407,0.0004,0.2341333568,7.69E-05
lex,1%,2%,0.0001577549957,0.6772327378,0.0074,0.0209,0.0012,0.1246674144,1.13E-05
matlab,9%,24%,0.0001560830554,4.647773139,0.0894,0.2417,0.0019,1,1.08E-06
asp,1%,6%,0.0001458732348,0.4608641735,0.0112,0.0551,0.0002,0.3530855569,1.98E-06
pov-ray sdl,4%,11%,0.0001437927737,0.3046779008,0.0435,0.1141,0.0004,0.3023116444,2.77E-06
visual basic,12%,30%,0.000143765778,1.288138489,0.1171,0.2982,0.0095,1,3.98E-06
dockerfile,2%,9%,0.0001414210544,15.76323074,0.0181,0.0888,0.0009,0.9427795535,6.22E-07
digital command language,3%,16%,0.0001380510216,1.046950136,0.0338,0.163,0.0004,0.9099212335,1.28E-05
zeek,13%,23%,0.0001377993782,0.5024426004,0.1256,0.2338,0.0128,0.4759354066,0.0009694843267
antlr,4%,18%,0.0001358483769,0.8433135244,0.0422,0.1787,0.0011,0.8014012785,2.37E-05
dtrace,0%,0%,0.0001216791176,0.04061972903,0.0014,0.0025,0.0002,0.008882739215,1.82E-06
sqf,37%,37%,0.000117164369,0.3737747945,0.3737747945,0.3737747945,0.3737747945,0.3737747945,0.3737747945
gcc machine description,0%,0%,0.0001169978252,0.004003281853,0.004003281853,0.004003281853,0.004003281853,0.004003281853,0.004003281853
vala,17%,34%,0.0001156216424,1.68132137,0.1681,0.3395,0.0056,0.8955598028,3.40E-06
hlsl,1%,1%,0.0001056528146,0.2207480295,0.0092,0.0098,0.0058,0.03123336102,3.09E-05
frege,68%,68%,0.0001019326464,0.6782613618,0.6782613618,0.6782613618,0.6782613618,0.6782613618,0.6782613618
plsql,1%,3%,0.0001000097656,0.4607627163,0.009,0.0321,0.0011,0.1766119851,3.98E-06
zephir,9%,13%,9.38E-05,0.366626371,0.0917,0.1335,0.0418,0.2829830916,7.01E-05
xs,1%,1%,9.31E-05,0.1143783569,0.0082,0.013,0.0011,0.03531980905,1.51E-06
rpc,1%,2%,8.60E-05,0.1266116992,0.0115,0.0247,0.0027,0.08387689936,2.29E-05
elm,22%,33%,8.28E-05,2.459219665,0.2236,0.3259,0.0305,1,3.41E-06
smalltalk,1%,1%,7.75E-05,0.2358320742,0.0059,0.0149,0.0001,0.07508392832,7.37E-09
dart,10%,23%,7.61E-05,1.630591934,0.0959,0.2328,0.0356,0.9730364584,3.42E-06
vim snippet,7%,23%,7.49E-05,1.334979595,0.0703,0.2266,0.0019,0.9895987492,1.65E-06
gap,1%,2%,7.45E-05,0.2015962715,0.0063,0.0157,0.0019,0.08716736775,7.25E-06
supercollider,1%,2%,7.39E-05,0.05011631301,0.0125,0.0234,0.0012,0.04761563775,9.98E-07
